project,risk,stakeholder,idx
Study on the impact of groundwater exploitation on soil properties and water quality in the Ouargla Basin,Salinity in soil due to excessive groundwater pumping|exceeding authorized standards. Values range from 2.4 g/L to 150 g/L in certain areas of the Ouargla Basin,None,0
constructing a Bayesian network to measure risk levels in the business (evidence theory associated with Bayesian network,identified and classified (root node,providing valuable information to control and avoid sensitive risks (numerical examples,1
Horizon2020 project,None,Universities|market players|professional associations,2
transition|employ|interview|group|negotiation|contestation|definition|examination|study|analysis|research|paper|publication,flooding|framing|policy issue|shift|defense|management|approach,professional|citizen|public|living|affected|community|area|region|city|local|national|international,3
carbon capture and storage (CCS) injection site,none detected,,4
Channel Tunnel Rail Link project,Financial arrangement|bargaining power balance|hold-up problems for project management,UK government|private investors,5
Analysis of trends and other changes in the distribution of extreme weather events using extreme value theory. Proposal to use Weibull distribution for evaluating extreme precipitation events,Floods|storms|hurricanes|droughts,Agriculture|infrastructure|tourism|insurance,6
studying the physical isolation and protection technology of classified information systems|improving network construction and strengthening network management capabilities|establishing a security monitoring system for computer information network involving classified computer|evaluating and correcting security situations using time-varying weighted Markov chain,leakage|violation of regulations|poor security management,individuals who need to be constrained according to,7
High-Speed Rail (HSR,None,Federal government|state governments|HSR construction companies|environmental groups,8
testing the surge line in both stationary and transient conditions|determining the surge limit in different flow rate scenarios,compressor surge|instability|mechanical failure,electric throttle placement upstream the compressor|possibly the driver or operator of the vehicle,9
Diagnostic investigation and repair strategy implementation to restore the functionality of the tank,Cracking in the walls of the water tank due to excessive cracks or cracks running across the full depth of the tank,Guidelines suggested for mitigating the risk of cracking attributable to thermal and shrinkage stresses in the harsh and arid environment in the Arabian G,10
management styles|ideal types|real-world variants|project effectiveness,project failure|management style|ideal types|real-world variants,management team|project sponsors|external parties (e.g|customers|regulators,11
MAR (Mobile Augmented Reality) - a tool used in the construction industry to enhance user involvement and understanding of design projects,None,users - individuals who interact with the MAR application and provide feedback through surveys,12
Deriving a land-use regression model to estimate ambient concentrations of nitrogen dioxide (NO2) in Montreal|Quebec|Canada,Negative association with the area of open,Population density within 2000 m|distance from the nearest highway|traffic count on the nearest highway|length of highways and major roads within 100 m,13
Climate change impact assessment on oaks and pines in Mexico,Vulnerable species (sensitive pine and oak species,Conservation strategies for sensitive pine and oak species|including ex situ strategies such as seed preservation in germplasm banks,14
Xiangjiaba Hydro Project,none detected,None,15
Examine the impact of corporate governance on corporate social responsibility (CSR) performance,Paying particular attention to modern Chinese businesses,Users|and regulatory authorities,16
geothermal project|investigation of active cooling system|consideration of phase change from solid to liquid or liquid to gas,drilling of geothermal wellbores|failure of downhole system|high wellbore temperatures,oil and gas industry,17
,,None,18
release of genetically modified (GM) crops into the environment,uncertainty and ignorance involved|unique risks compared to conventional crops,scientists employed in the GM-industry,21
Adaptation mechanisms for the water resources system|including passive response|adaptation|and active adjustment,Climate change|environmental changes|and their impact on the water resources system,People involved in managing and regulating the water resources system|such as government agencies|water utilities|and local communities,22
sustainable finance|sustainable economic factors,carbon emissions|ecological footprints,sustainability preservation (environmental quality|economic development (urbanization,23
