index,risks
0,"['Environmental risk', 'related risk', 'Operational risk']"
1,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
3,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
4,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
5,"['Environmental risk', 'related risk', 'Operational risk']"
6,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
8,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
9,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
10,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
13,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
14,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
15,"['Environmental risk', 'related risk', 'Operational risk']"
16,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
18,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
19,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
20,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
23,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
24,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
25,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
26,['Collision risk']
27,['Social and environmental risks']
30,"['Environmental risk', 'related risk', 'Operational risk']"
31,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
33,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
34,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
35,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
38,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
39,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
40,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
41,['Collision risk']
42,['Social and environmental risks']
48,['related risk']
50,"['Environmental risk', 'related risk', 'Operational risk']"
51,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
53,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
54,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
55,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
58,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
59,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
60,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
61,['Collision risk']
62,['Social and environmental risks']
68,['related risk']
70,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
71,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
72,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
74,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
75,"['Environmental risk', 'related risk', 'Operational risk']"
76,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
78,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
79,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
80,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
83,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
84,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
85,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
86,['Collision risk']
87,['Social and environmental risks']
93,['related risk']
95,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
96,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
97,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
99,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
100,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
101,"['Operational risks', 'Reputation risks', 'Financial risks']"
102,['Fire risk']
103,"['Completeness risk', 'Conjunction risk', 'Information risk']"
104,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
105,"['Environmental risk', 'related risk', 'Operational risk']"
106,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
108,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
109,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
110,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
113,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
